Hue mean,Yellow,Red,Green,Blue,Saturation,Biome name
44.2369,142,3,9672,12,187.8637,plains
39.2024,499,2,8616,0,207.3351,plains
39.5941,338,0,9453,1,219.4708,plains
41.9251,33,0,9869,3,209.4173,plains
41.3293,548,0,8985,0,220.3251,plains
41.9389,272,4,9194,37,225.3301,plains
43.9825,405,8,9417,25,203.8286,plains
44.7608,403,18,9232,77,201.0004,plains
44.6671,675,15,8998,18,183.1324,plains
48.7866,41,10,9636,37,162.9318,plains
40.4529,440,0,9158,0,204.465,plains
40.2589,527,3,8971,4,207.4578,plains
39.587,340,1,9450,1,220.3708,plains
42.051,107,0,9764,1,215.2573,plains
42.072,240,2,9435,24,224.6758,plains
38.7355,635,0,8617,0,225.4661,plains
44.3101,163,3,9692,12,198.7192,plains
44.6819,460,10,9207,128,198.0317,plains
45.0768,474,5,9335,14,184.5783,plains
48.0841,47,18,9677,35,162.0749,plains
41.0404,266,34,9429,4,198.9778,plains
41.4676,111,0,9686,0,210.4794,plains
39.8542,181,1,9005,6,211.6893,plains
41.7829,242,43,9468,13,206.6813,plains
43.6534,233,24,9544,78,214.1171,plains
41.9022,330,2,9000,25,222.1554,plains
40.423,564,0,9003,0,200.7375,plains
44.6346,280,8,9587,19,206.138,plains
45.9403,220,0,9507,12,168.3472,plains
46.2582,31,0,9859,6,171.4648,plains
43.8738,182,0,9214,18,185.1969,plains
44.5479,68,20,9775,18,184.6136,plains
47.1733,39,10,9434,142,175.8612,plains
42.4047,406,0,9163,17,205.0493,plains
46.341,13,6,9877,18,184.6716,plains
36.3962,945,0,7943,0,235.4294,plains
39.0938,432,0,8951,0,223.0651,plains
42.6762,57,1,9801,0,201.6432,plains
36.8992,539,191,8737,29,210.0205,plains
36.6698,715,60,8051,10,214.2072,plains
39.0936,137,419,8520,342,228.0348,plains
36.7896,268,0,9018,0,237.4297,plains
38.3392,54,0,9735,0,227.1349,plains
42.6511,84,136,8429,858,218.2283,plains
38.625,535,5,8857,0,191.9109,plains
38.8559,319,2,8790,55,215.9833,plains
40.0093,697,1,8493,0,188.179,plains
43.0448,202,0,9635,0,196.0411,plains
43.861,33,1,9564,134,207.3012,plains
41.1282,368,0,9333,0,208.2067,plains
40.6003,364,0,9441,0,194.6687,plains
39.2878,230,0,9377,0,215.3693,plains
